# City : Real Name : language : area : coord
Berlin::::13.0109 52.3376 13.7613 52.6753
CambridgeMa:Cambridge (Massachusetts):en:other:-71.1986 42.3265 -71.0036 42.4285
Ruegen:R&uuml;gen:::12.904 54.199 13.81 54.708
SanJose:San Jos&eacute;:en:other:-122.081 37.21 -121.707 37.46
Copenhagen::en:eu:12.275 55.549 12.702 55.831
Hamburg::::9.77 53.426 10.24 53.663
Frankfurt:Frankfurt am Main::::::8.44 50.02 8.979 50.185
Prag:::eu:14.3016 50.0241 14.6009 50.1468
Tuscon::en:other:-111.108 32.114 -110.704 32.335
Toronto::en:other:-79.674 43.602 -79.077 43.849
Dresden::::13.61 50.97 13.922 51.119
Dortmund::::7.09 51.39 7.599 51.631
Bonn::::6.971 50.621 7.289 50.813
Duisburg::::6.663 51.361 7.111 51.604
London::en:eu:-0.2417 51.4403 0.023 51.5621
Koeln:K&ouml;ln:::6.823 50.865 7.108 51.015
Duesseldorf:D&uuml;sseldorf:::6.637 51.145 6.959 51.295
Portland::en:other:-122.81 45.43 -122.53 45.59
Hannover::::9.583 52.308 9.92 52.473
Mannheim::::8.306 49.302 8.773 49.587
Madison::en:other:-89.578 42.971 -89.215 43.18
Providence::en:other:-71.5273 41.7378 -71.3141 41.9006
Bremen::::8.704 53.007 9.001 53.137
Rotterdam::en:eu:4.3605 51.8601 4.6053 51.969
PaloAlto:Palo Alto:en:other:-122.2585 37.3661 -122.0223 37.5176
Reval::eu::24.6189 59.3803 24.8744 59.4872
Montreal::en:other:-73.787 45.37 -73.404 45.607
Wien::::16.2779 48.1592 16.4976 48.2636
SanFrancisco:San Francisco:en:other:-122.527 37.594 -122.351 37.811
Miami::en:other:-80.3244 25.6548 -80.0473 25.8567
Mainz::::8.1339 49.9325 8.4123 50.1077
Paris::en:eu:2.2168 48.7974 2.4681 48.9241
DenHaag:Den Haag::eu:4.2023 52.0097 4.4241 52.1288
FortCollins:Fort Collins:en:other:-105.196 40.463 -104.933 40.621
Amsterdam:::eu:4.7982 52.3206 5.0265 52.4309
NewYork:New York:en:other:-74.063 40.67 -73.894 40.827
Seattle::en:other:-122.4612 47.5219 -122.1851 47.6823
Karlsruhe::::8.295 48.964 8.478 49.126
Helsinki::en:eu:24.8391 60.1277 25.0462 60.2061
Leipzig::::12.271 51.27 12.502 51.4
Bielefeld::::8.399 51.946 8.657 52.071
SanktPetersburg:Sankt Petersburg:en:other:30.151 59.865 30.502 60.016
Darmstadt::::8.455 49.77 8.842 49.974
Bruessel:Br&uuml;ssel::eu:4.2614 50.7981 4.4376 50.8996
Rostock::::12.0204 54.0599 12.2271 54.1933
Aarhus:&Aring;rhus:en:eu:10.0894 56.1007 10.3225 56.202
Chicago::en:other:-87.7501 41.7789 -87.5307 41.9326
Cottbus::::14.2561 51.7092 14.435 51.8101
Zuerich:Z&uuml;rich::eu:8.4483 47.3437 8.6271 47.4185
Stockholm::::17.9752 59.2945 18.1664 59.3623
Danzig:::eu:18.411 54.303 18.812 54.57
Vancouver::en:other:-123.2871 49.1809 -122.9818 49.3422
Jena::::11.5241 50.8597 11.6696 50.9705
Budapest:::eu:18.9482 47.434 19.1556 47.5407
Strassburg:Stra&szlig;burg::eu:7.6515 48.5189 7.875 48.6525
Luebeck:L&uuml;beck:::10.574 53.82 10.806 53.933
Basel:::eu:7.5298 47.5128 7.6823 47.5943
Sofia::en:eu:23.2146 42.6445 23.4244 42.7505
Erlangen::::10.9636 49.5208 11.0606 49.6199
Aachen::::6.0388 50.7388 6.1549 50.8076
Groningen:::eu:6.4602 53.1568 6.6769 53.281
Freiburg::::7.7758 47.9677 7.9087 48.0393
Austin::en:other:-97.798 30.216 -97.675 30.316
Kiew::en:eu:30.4236 50.3854 30.6385 50.4963
Dublin::en:eu:-6.3485 53.2933 -6.1552 53.3867
Boulder::en:other:-105.3198 39.963 -105.2017 40.07
Goettingen:G&ouml;ttingen:::9.8519 51.494 9.9917 51.5818
Stettin:::eu:14.4419 53.3575 14.7299 53.4764
Laibach:::eu:14.43 46.01 14.64 46.13
Oslo::en:eu:10.6517 59.8831 10.8323 59.9526
Chemnitz::::12.8152 50.7803 13.0154 50.8796
Erfurt::::10.969 50.9454 11.0991 51.0087
Cambridge::en:eu:0.0593 52.1708 0.2018 52.2577
Barcelona::en:eu:2.0555 41.2953 2.267 41.4718
Zagreb:::eu:15.8652 45.7381 16.1155 45.8511
Muenster:M&uuml;nster:::7.5771 51.9226 7.6873 51.9917
SantaCruz:Santa Cruz:en:other:-122.087 36.941 -121.917 37.013
CraterLake:Crater Lake:en:other:-122.2593 42.8404 -121.9531 43.0219
Riga:::eu:23.9847 56.9117 24.2099 56.9943
Davis::en:other:-121.8085 38.5045 -121.6698 38.5942
Cracow:::eu:19.88 50.02 20.00 50.09
Kaunas:::eu:23.8001 54.8585 24.0157 54.9521
Corvallis::en:other:-123.3293 44.5253 -123.1965 44.6072
BrandenburgHavel:Brandenburg (Havel):::12.4647 52.3745 12.6563 52.4511
Goerlitz:G&ouml;rlitz:::14.9082 51.0989 15.0494 51.1891
Turin::::7.6221 45.0155 7.7594 45.1106
FrankfurtOder:Frankfurt (Oder):::14.4804 52.3074 14.6026 52.3724
WarenMueritz:Waren (M&uuml;ritz):::12.5982 53.4811 12.7647 53.5488
Sarajewo:::eu:18.3664 43.8334 18.4889 43.8915
Colmar:::eu:7.305 48.0471 7.4086 48.1236
Kassel::::9.369 51.233 9.594 51.376
